Autor, Year, Title, Ed,Sub
Jones. David,2001, Comic books react to real 9-11 events [terrorism], South Florida Sun-Sentinel (November 29),
Pensa. Patty,2001, Mystery donor lends cartoon museum $650.000 to stave off foreclosure, South Florida Sun-Sentinel (October 12),
Othon. Nancy L,2008, Boca illustrator sues DreamWorks for copyright infringement [Madagascar], South Florida Sun-Sentinel( May 14),
McCarthy. James,2009, Cardiff MP Kevin Brennan draws on cartoonist Gren for art inspiration, South Wales Echo (June 26),
Bodinger. Katie,2007, Join the scrum for a bit of Gren fun, South Wales Echo (November 24),
Lim Cheng Tju,1997, Singapore Political Cartooning, Southeast Asian Journal of Social Science 25 (1). 125-150,
Okamoto. Rei,1997, 'Fuku-chan' goes to Java. Images of Indonesia in a Japanese wartime newspaper comic strip, Southeast Asian Journal of Social Science 25(1).111-123,
Provencher. Ronald,1997, Everyday life in Malaysia. Representations of social relationships in Malay humour magazines, Southeast Asian Journal of Social Science 25(1).11-36,
Tju. Lim Cheng,1997, Singapore political cartooning, Southeast Asian Journal of Social Science 25(1).125-150,
Lent. John A,1997, Introduction [Special Focus. Cartooning and comic art in Southeast Asia issue], Southeast Asian Journal of Social Science 25(1).1-9,
Mahamood. Muliyadi,1997, The development of Malay editorial cartoons, Southeast Asian Journal of Social Science 25(1).37-58,
Marston. John,1997, Em Sokha and Cambodian satirical cartoons, Southeast Asian Journal of Social Science 25(1).59-77,
Reyes. Soledad S,1997, The Philippine Komiks. Text as containment, Southeast Asian Journal of Social Science 25(1).79-91,
Lent. John A,1997, The uphill climb of Thai cartooning, Southeast Asian Journal of Social Science 25(1).93-109,
Leehey. Jennifer,1997, Message in a bottle. A gallery of social/political cartoons from Burma, Southeast Asian Journal of Social Sciences 25 (1).151-166,
Chen. PC,1986, Human behavioural research applied to the leprosy control programme of Sarawak. Malaysia [using cartoon tape-slides and cartoon story books], Southeast Asian Journal of Tropical Medicine & Public Health 17 (3; Sep). 421-6,
Chen. PC and HC Sim,1986, The development of culture-specific health education packages to increase case-finding of leprosy in Sarawak [using cartoon tape-slides and cartoon story books], Southeast Asian Journal of Tropical Medicine & Public Health 17 (3; Sep). 427-32,
Adair. Ben,2005, Comics as Art. Kozyndan, Southern California Public Radio and KPCC's Pacific Drift (December 18),
Adair. Ben,2005, Masters of American Comics [exhibit], Southern California Public Radio and KPCC's Pacific Drift (December 18),
Felde. Kitty,2005, Masters of 20th Century American Comics [exhibit], Southern California Public Radio and KPCC's Talk of the City (December 28),
Murphy. B,1998, Apocalyptic Pop. Judge Dredd and the British View of American Cultural Decay, Southern Conference on British Studies & Carolinas Symposium on British Studies. Birmingham. AL (November),
Brewster. P,1950, Folklore Invades the Comic Strips, Southern Folklore Quarterly 14. 97-102,
Bender. Steve. James T. Black and Dianne Young.,1997,"Crusader cartoonists [M. Luckovich, W. Handelsman and B. Sargent]", Southern Living (Apr).150-154,
Young. Diane,1997, Crusader cartoonists; Meet three leading political cartoonists who ink ire. fire. and fun onto the pages of Southern newspapers [Mike Luckovich. Walt Handelsman. Ben Sargent], Southern Living (April). 151-154,
Chilcoat. George W,1988, How to use the comic book as a creative idea to teach history, Southern Social Studies Quarterly 13(3; Spring).18-32,
Saban. Alan,2006, Absolutely `Unfabulous'. Even with film version of gay comic strip. cartoonist Eric Orner says his heart is still in drawing, Southern Voice (July 28),
Deffner. Elisabeth,2006,"Tooned in: For Houston-based A.D. Vision, success in the animation business is all about understanding its audience [anime].", Southwest Airlines Spirit (June). 84-87,
Bancks. James Charles,1982, The Golden Years of Ginger Meggs. 1921-1952, Souvenir Press/Brolga Books,
Bonfadelli. H,1989, Comics for traffic education. evaluation of a traffic safety campaign [in German], Sozial- und Praventivmedizin 34 (3). 124-30,
Halvorson. Todd,2001, NASA Treats Staff to Cartoon Poking Fun at Tito Flight, Space.com (April 24),
Bollen. Roger,1991, Cartooning magic. Draw these famous cartoon characters yourself [Animal Crackers], Spark! (September). cover. 16-19,
Sabin. Roger,1997, Not just superheroes [Seth; Chris Ware; Sacco], Speak (Summer),
Chapple-Sokol. A,1996, Indexing editorial cartoons, Special Libraries 87(1).21,
Glazebrook. Olivia,2006, Switched off [V for Vendetta movie], Spectator (March 18). 60. 62,
Miller. Jeff,1996, Re-reading Steve Canyon. Part II, Speech Communication Association,
Salamon. Jeff,1997, Babe watch. Jessica Abel chronicles the young and the feckless in Artbabe, Spin (Aug).44,
Edwards. Gavin,2000, The art of war [Joe Sacco], Spin (June),
Ashare. Matt,1997, Noir Town. Brian Michael Bendis upends the thrill kill cult in his new crime series. Jinx, Spin (Mar).42,
Borow. Zev,1999, Mystery Science Theater 3000 [Matt Groening animated tv show Futurama], Spin (May). 94-100,
Bernstein. Jonathan,1997, The worst years of our lives. High school heroine Daria is the girl with the most hate [animation], Spin (May).30,
Baker. Kyle and Larry Doyle,1997, Strip Mall [comic strip on San Diego Comi-Con '97], Spin (Oct),
Kurson. Ken,1997, More glum in the new world [Ed Brubaker's Detour], Spin (Oct).66,
Gehr. Richard,1997, The XXX Files. The post-millennial paranoia of the Pander Brothers' Triple X, Spin (Sep).44,
Rubin. Mike & Mark Dancey,1998, Mooks of the year. The Insane Clown Posse - 'Down With Clowns' [comic strip], Spin 14 (1; January). 72-75,
Norris. Chris,1998, Welcome to South Park fat-ass [animated tv show], Spin 14 (3; March) 66-67,
Drennan. Danny,1998, South Park for dummies. The first season [animated tv show], Spin 14 (3; March) 70-72,
Kapitanoff. Nancy,2001, Daniel Clowes on Ghost World. the Movie, Spinnerrack.com (July 20),
Nyhan. Brendan,2001, Truth and Dissembling on Central Asian Oil Politics [criticizing Rall's editorials], Spinsanity (October 15),
Taylor. Kevin,2003, Police confiscate sexual comic books at Hastings ; Customer complained books visible to children.which violates state law, Spokane Spokesman Review (February 27),
Paulman. Ken,2007, Kershner. 'Pearls' among lineup changes, Spokane Spokesman Review (January 7),
Webster. Dan,2007, 'Pearls' of comic wisdom. Pastis' popular strip rolls simple. sweet and snide all into one, Spokane Spokesman-Review (January 7),
Lefevre. Pascal,1990, Beweging in de strip [movement in sports comics], Sport. Bloso. Brussel 32 (2),
Jenkins. Paul. Paco Medina. and Juan Vlasco,2004, Captain Hal?s Secret Weapons. Ryder Cup Heroes [comic strip], Sports Illustrated (September 14),
Unknown,1996, The coach carries on [Gil Thorpe comic strip], Sports Illustrated 84(14; Apr 8).24,
O'Connell. Michael,2009, Real World in Four Colors. Movie. comic book fans find a world of entertainment in graphic novels, Springfield Connection / Connection Newspapers (March 5),
O'Connell. Michael,2009, Watching the Watchmen - Movie Review, Springfield Connection / Connection Newspapers (March 5),
Kennell. Everett,2001, 'The Simpsons' coming to Branson; The show's producers promise they will be nice to the tourist town, Springfield News-Leader (August 29),
McGinn. Andrew,2005, Comic book artist. Garrison Keillor to speak [Stane Lee], Springfield News-Sun (August 25),
McGinn. Andrew,2009, Springfield getting comic book shop again, Springfield News-Sun (February 6),
McGinn. Andrew,2002, Comics become literature, Springfield News-Sun (May 29),
McGinn. Andrew,2002, Comics become literature, Springfield News-Sun (May 29),
Drake. Arnold and Matt Baker,1951, It Rhymes with Lust [paperback graphic novel], St. John,
Brown. Terry,2005, Friendship goes to the gurney for two old comrades; Fruit Cove man receives a kidney from his best friend since ninth grade [editorial cartoonist Doug MacGregor], St. Johns Sun (October 14),
Berg. Paul,1979, Portfolio [Al Hirschfeld], St. Louios Post-Dispatch (February 18). Pictures 12-13,
Futterman. Ellen,2006, Help choose our new comic strip, St. Louis Post Dispatch (June 5),
Mink. Eric,2008, One revolutionary duck The lonely death of a comic genius [Steve Gerber], St. Louis Post-Dispatch (February 27),
Irwin. Virginia,1949, Man who draws Prince Valiant. Hal Foster has had almost as many adventures as his drawing-board hero - thinks hunting ducks is more important than making money, St. Louis Post-Dispatch (February 6),
Bolhafner. J. Stephen.,1994,No Kidding. Women Gypped in Comics [Trina Robbins Interview], St. Louis Post-Dispatch (June 26). 4c,
Associated Press,1997, 'Peanuts' creator plans to take birthday leave; old strips will be rerun, St. Louis Post-Dispatch (Nov 25),
Hubert. Cynthia / Sacramento Bee,2006, 'Peanuts' before 'Pearls'. Cartoonist got spark from Charles Schulz [Stephen Pastis], St. Louis Post-Dispatch (October 11),
Pluto. Terry,1997, Playing golf is no joke to cartoonist [Charles Schulz], St. Louis Post-Dispatch (Sep 28),
Bolhafner. J. Stephen.,1994, Comic Relief. Creation of 'Maus' [Spiegelman exhibit review], St. Louis Post-Dispatch (September 15),
Parker. Steve,2009, Artist says protesters missed the point of ''race card'' cartoon [Keith Knight], St. Louis Post-Dispatch's A Conversation about Race blog (September 30),
Watkins. Barbara,2006, Entrepreneur develops Catholic comic books, St. Louis Review (February 24),
Nielson. Claire and Chris Riddell,1999, Buddhism for Bears, St. Martin's Press,
Cox. Palmer,1883, The Brownies' Ride [first appearance], St. Nicholas (February),
Cox. Palmer,1879, The Wasp and the Bee, St. Nicholas (March),
Cox. Palmer,1924, The Wasp - A Rhyme [last Brownies appearance], St. Nicholas (October),
Karlson. Karl J,2000, New video preserves memories of Snoopy. 101 statues on tape; sales benefit charity [Peanuts], St. Paul (Minnesota) Pioneer Press (December 12),
Karlson. Karl J,2000, 'SnoopyCam' brings celebration to world; Internet site to feature statue in Rice Park live [Charles Schulz memorial], St. Paul (Minnesota) Pioneer Press (July 19),
Karlson. Karl j,2000, A `Peanuts' Inspiration. St. Paul's public tribute to Charles Schulz is an intensely personal experience for one mother. who credits the cartoonist's work with helping her son fight cancer, St. Paul (Minnesota) Pioneer Press (May 23),
Yang. Nancy,2006, John Bush. Twin Cities cartoonist [obituary], St. Paul Pioneer Press,
Hanners. David,2001, Art buyers 'toon in. turn out for rare auction [animation], St. Paul Pioneer Press (December 30),
Karlson. Karl J,2001, The Art of `Peanuts'. A museum exhibition opening next week in St. Paul will explore the cartoon work of Charles Schulz, St. Paul Pioneer Press (February 12),
Ragsdale. Jim,2001, Ventura critical of new comic strip. He accuses paper of profiting off image, St. Paul Pioneer Press (January 17),
Karlson. Karl J,2000, Tribute to Schulz coming to life; Kids touched by cancer decorate its first statue, St. Paul Pioneer Press (June 9),
Linsk. Rick,2001, Young local artists fine 'toon their sketching skills [Tim Jennen], St. Paul Pioneer Press (March 19),
Unknown,2006, Tip of the day. comic book convention, St. Paul Pioneer Press (October 4),
Belden. Doug and Steve Thomas,2008,The Graphic Novel [education], St. Paul Pioneer-Press (March 2),
Weschler. Lawrence,1998, A wanderer in the perfect city [Art Spiegelman; Ben Katchor essays], St. Paul. MN. Hungry Mind Press,
Stevens. Bill,1982, Harold R 'Hal' Foster. the creator of the 'Prince Valiant' series. Dies, St. Petersburg Times,
Basse. Craig,2005, Obituary. Louise C  Bishop. longtime philanthropist. dies at 98 [widow of cartoonist Wally Bishop. creator of Muggs and Skeeter comic strip], St. Petersburg Times,
Vishnya. Dina,2000, Local Production Planned for Novelty Eggs [the Russian Soyuzmultfilm cartoon studios], St. Petersburg Times (600. September 5),Newspaper / Magazine
Wilson. Mike,2006, Return of the penguin [Opus and comics poll], St. Petersburg Times (April 30),
Ross. Bob,1978, Bernie Wrightson. A monstrous success in the comics, St. Petersburg Times (December 17). 1G.16G,Newspaper / Magazine
Buie. Lisa,2008, Couple's two terriers achieve funny paper fame. The Marmaduke strip tells the tale of a Trinity couple's late. beloved pets, St. Petersburg Times (February 19),
Brassfield. Mike,2001, Mickey drawing leads man on quest. But Disney archivist disagrees with claims about the sketch, St. Petersburg Times (January 1),Newspaper / Magazine
Andelman. Bob,2005, An immeasurable spirit. For celebrated comics and graphic novel artist Will Eisner. there was no end to his life's work, St. Petersburg Times (January 24),Newspaper / Magazine
Smith. Peter,2001, Palmer still does 'Li'l Abner' best [theatrical play], St. Petersburg Times (March 20),Newspaper / Magazine
Badkhen. Anna,1998, 'Anastasia' premier frightens. perplexes [animation; Russia], St. Petersburg Times (March 23),Newspaper / Magazine
Floyd. Chris,1998, Global eye. Monster mash ['Nessie and the Blind Boy' by animator], St. Petersburg Times (March 23),Newspaper / Magazine
Persall. Steve,2009, Patrick Wilson masters 'Watchmen' role with flaws and effect, St. Petersburg Times (March 5),
Digges. Charles,1997, Five corners. Tour makes haste re. waste [cartoon tour guide character in Russia nuclear plant], St. Petersburg Times (May 26),Newspaper / Magazine
Fields. Monique,2001, Powerpuff love brings some stardom; A fourth-grader wins a bedroom-decorating contest for her room populated with cheery cartoon characters, St. Petersburg Times (October 9),Newspaper / Magazine
Fredricksen. Barbara L,2001, Production of 'Peanuts' play keeps traditional approach; The Richey Suncoast Theatre won't change much of the original script for You're a Good Man. Charlie Brown in tribute to its creator, St. Petersburg Times (September 14),Newspaper / Magazine
Vorobei. Andrei,2006, Museums of modern art [Dutch comic strip Fokke and Sukke], St. Petersburg Times (September 29),
Deggans. Eric,2009, Is this cartoon racist? [Sean Delonas], St. Petersburg Times' The Feed blog (February 18),
Harrison. Hank,1987, Art Of Jack Davis. The, Stabur Press. Radnor PA,
Simmonds. Diana,2007, Episode 30 - Graphic Novels [Eddie Campbell. Shaun Tan], Stagecast (June 6),
Childs. Carrie,2001, 'The Lockhorns' adds another slice of life, Stamford Advocate (July 9),
Lockhart. Brian,2005, Artist is drawn back to Man of Steel [John Byrne], Stamford Advocate (March 6),
Springer. Brooke,2006, Cartoon museum loses future home [Mort Walker's National Cartoon Museum], Stamford Advocate (September 14),
Jackson. Jack,1982, Los Tejanos, Stamford. CT. Fantagraphics Books,
White. Peppy,1984, Focus On John Byrne, Stamford. CT. Fantagraphics Books,
Mercadoocasio. Gwenn,1994, How to draw comics, Stamford. CT. Longmeadow,
Mercadoocasio. Gwenn,1994, How To Draw Comics [Designed to look like a comic book], Stamford. CT. Longmeadow Press,
Unknown,1995, Comic strip classics unveiled in Washington. DC, Stamps 251(10; Jun 3).1,
Unknown,1995, Comic strip classics kick off stamp collecting month, Stamps 253(4; Oct 21).1,
Bibler. Richard N,1953, Little Man on Campus [Gag cartoons about college education], Stanford University Press,University
Huyssen. Andreas,2003, Of mice and mimesis. Reading Spiegelman with Adorno, Stanford. CA. Stanford University Press,
Morales. Gil,1981, Dupie [College strips - self-published], Stanford. Dupie Press,
Janes. Peet,1998,, Star Wars Insider 39 (August / September). 72-75,
Unknown,2005, Star Wars Artist Series. Brian Ching, Star Wars.com (February 23),
Unknown,2005, Star Wars Artist Series. Matt Busch, Star Wars.com (July 28),
Unknown,2006, Star Wars Artist Series. Dan Parsons, Star Wars.com (June 12),
Unknown,2005, Star Wars Artist Series. Doug Wheatley [Canadian], Star Wars.com (March 23),
Sloane. Judy,2006, Black is the new red. As the first images of the eagerly-awaited Spider-Man 3 movie are unveiled. we talk to Spider-Man creator Stan Lee about the web-spinning superhero and other comic characters, Starburst (April; 335). 56-61,
Spragg. Paul,2006, Comics. The best in comics and graphic novels [Gotham Knights. Army of Darkness vs Reanimator. Firestorm], Starburst (April; 335). 94,
Ford. Gavin,2006, Readers missing out on Black Panther, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Some reasons 'Superman Returns' didn't soar, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, The sun hasn't set on Western comic books, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, 'Heroes for Hire' revives '70s superheroes, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2005, Lately. every good tale comes with a missed deadline [Spider-Man/Black Cat. The Evil That Men Do], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2005, 'All-Star' title has a new perspective on Superman, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2005, New Marvel mutant has a story that stands alone [X-Men. X-23], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Heroes and villains never die; at least not like they used to, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, New comic 'Fell' takes some risks [Warren Ellis and Ben Templesmith], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, 'Fables' casts classic fairy tale characters in new stories, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Popeye turns 77. But most of his cartoons are still not available on DVD, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, New comic company has big backing [Virgin Comics], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, The Atom is back, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Marvel takes steps to overcome 'X' anxiety [X-Men], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Don't marginalize Sergio Aragones , Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Don't overlook mystical Shadowpact [Bill Willingham DC Comics series], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Graphic novels revive 'Baby-Sitters' stories , Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Get the Superman tag and 'Go Forward', Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, A surprisingly sensitive 'Punisher' tale, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, This Ben isn't gentle. but he's a good guy [Fantastic Four], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Give others a chance to form opinions on comics. movies, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Alan Moore. Comics' man of principle, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, 'Ultimate' versions of favorite superheroes in comics. film, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Changes in D, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Marvel's 'Annihilation' revives cosmic characters, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, New comics; Justice League Unlimited goes off the air; Free Comic Book Day, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2007, '30 Days of Night' now a movie, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2005, The surprising success of the Teen Titans [comic book and animation], Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Groundbreaking zombie magazine gets resurrected, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, Blade takes another stab at comics success, Star-Gazette (August 10),Newspaper / Magazine
Ford. Gavin,2006, A graphic novel approach to 9/11, Star-Gazette (August 10),Newspaper / Magazine
Unknown,2009, Clarion-Ledger cartoonist featured in program at Winston County library [Marshall Ramsey], Starkville Daily News (April 17),
Jungwirth. Daniel,2005, Artist Goes Mad. Cartoonist earns a spot among 'Gang of Idiots' [Huw Evans], StarPhoenix [Saskatoon] (November 10),
Wallgren. Wally,1919, Wally - His Cartoons of the AEF [cartoons about World War I], Stars and Stripes,
Harris. Kent,2003, Syndicated cartoonist Basset visits Aviano students, Stars and Stripes European edition (November 19),
Ungaro. Joe,2005, Ombudsman. Balance. laughs strived for in editorial cartoons that appear in Stripes, Stars and Stripes Mideast edition (August 17),
Mraz. Steve,2005, Sergeant in Afghanistan offers a comic 'Reality Check' [Bryan Dorman], Stars and Stripes Mideast edition (October 21),
Svan. Jennifer H,2005, Marvel heroes return in second military-exclusive comic book, Stars and Stripes Pacific edition (September 29),
Darling. Cary,2009, 'Pixarpedia' hardback will animate cartoon fans, Star-Telegram (October 1),
Sisk. George,2008, Hateful cartoons poison Arab-Israeli relations, State Journal-Register (November 12),
Kerr. Joan. Craig Judd and Jo Holder,1999, Australians in Black & White (The Most Public Art) [exhibition guide], State Library of New South Wales,
Unknown,1999, [Superman. Deadly Legacy Landmine Awareness comics], Staten Island Advance (November 26),
Healy. James,2009, Drawing by Brooklet boy ends up in 'Alley Oop' comic strip, Statesboro Herald (January 10),
Barnes. Michael,2008, Statesman cartoonist goes 'Mad' [Ben Sargent], Statesman (February 6),
Eirik,1998, Donalds redningsmann [Don Rosa interview in Norwegian], Stavanger Aftenblad (August 15) ,
Feuti. Norm,2009, My Life as a Syndicated Cartoonist [Gill], Stay Tooned!,Newspaper / Magazine
Read. John,2009, Benita Epstein. From mosquitoes to magazine cartoons, Stay Tooned!,Newspaper / Magazine
Tatulli. Mark,2009, True-Life Adventures of Cartoonists. Passion. Determination ? and Good Timing, Stay Tooned!,Newspaper / Magazine
Read. John,2009, Chad Carpenter. Alaska's Cartoon Laureate, Stay Tooned!,Newspaper / Magazine
Edholm. Mike,2009, Where the magic began [Walt Disney Hometown Toonfest], Stay Tooned!,Newspaper / Magazine
Read. John,2009, Paul Fell. ''You have to be willing to be diversified'', Stay Tooned!,Newspaper / Magazine
Harvey. R,2009, Funnies Farrago. The Grand Master Revealed & Stupidity Championed [Landon School and Kyle Baker], Stay Tooned!,Newspaper / Magazine
Silver. Stephen,2009, Sketchbook Look, Stay Tooned!,Newspaper / Magazine
Richmond. Tom,2009, The Mad mailbag! [caricature], Stay Tooned!,Newspaper / Magazine
Read. John,2009, Mike Witmer. ''It's not about the money'', Stay Tooned!,Newspaper / Magazine
Read. John,2009, Cedric Hohnstadt. ''I do a little bit of everything'', Stay Tooned!,Newspaper / Magazine
Read. John,2009, Jim Scancarelli. ''I may be the only cartoonist who's worked on two different strips in their 75th year'', Stay Tooned!,Newspaper / Magazine
Read. John,2009, Richard Thompson. ''I was always drawing when I shouldn't be'', Stay Tooned!,Newspaper / Magazine
Read. John,2009, Matson. ''I work for three newspapers in three different cities'', Stay Tooned!,Newspaper / Magazine
Read. John,2008, Marcus Hamilton. Six Days a Week with Dennis, Stay Tooned!,Newspaper / Magazine
Read. John,2008, Steve Kelley. ''I draw cartoons on politics and stuff people actually care about'', Stay Tooned!,Newspaper / Magazine
Read. John,2008, Steven Butler. ''Everything was trial and error for me'', Stay Tooned!,Newspaper / Magazine
Read. John,2008, Greg Cravens. ''I was incapable of doing anything else'', Stay Tooned!,Newspaper / Magazine
Richmond. Tom,2008, The Mad Mailbag! [on caricature], Stay Tooned!,Newspaper / Magazine
Read. John,2008, John Rose. ''I'm like most cartoonists - we're always working'', Stay Tooned!,Newspaper / Magazine
Harvey. R,2008, Funnies Farrago. What I Saw and Heard at the Festival of Cartoon Art / Miller Makes 'Em Mad / Joining the Parade / The School of Cartoon Captioning / Still No Editoonist at the Trib [Non Sequiter. New Yorker], Stay Tooned!,Newspaper / Magazine
Read. John,2008, Marshall Ramsey Is Enjoying His Dream Job, Stay Tooned!,Newspaper / Magazine
Read. John,2008, John Deaton. ''I would love nothing better than to draw cartoons full time'', Stay Tooned!,Newspaper / Magazine
Read. John,2008, Rob Corley. ''We adapt to what our clients are looking for'' [Funny Pages Studio. animation], Stay Tooned!,Newspaper / Magazine
Read. John,2008, Scott Stantis. ''It's amazing what you can do with art'', Stay Tooned!,Newspaper / Magazine
Cagle. Daryl,2008, Too many cartoonists. too little time, Stay Tooned!,Newspaper / Magazine
Read. John,2008, Drawn  but not forgotten. Cartoonists we lost in 2007, Stay Tooned!,Newspaper / Magazine
Pastis. Stephan,2009, Cartooning 101 - We Try Less Harder, Stephan Pastis blog (February 5),
Poitras. Gilles,1998, The Anime Companion. What's Japanese in Japanese Animation, Stone Bridge Press,
Schodt. Frederik L,2007, The Astro Boy Essays. Osamu Tezuka. Mighty Atom. and the Manga/Anime Revolution, Stone Bridge Press,
Kiyama. Henry (Yoshitaka) and Frederik L,1999, The Four Immigrants Manga. A Japanese Experience in San Francisco. 1904-1924, Stone Bridge Press,
Schodt. Frederik L,1996, Dreamland Japan. Writings On Modern Manga, Stone Bridge Press. Berkeley,
Unknown,1994, Merchandising strategy [cartoon character product licensing], Stores 76(2; Feb).18,
Sharkey. Conor,2009, Strabane cartoonist shows politics in Northern Ireland as it is 'Warts and All' [John Kennedy], Strabane Chronicle (April 9),
Leiren-Young. Mark,2008, Persepolis creator Marjane Satrapi adapts her autobiographical graphic novel her way for animated feature, Straight.com (January 10),
Hall. Emily,2002, Young gun. Randy Wood does it himself, Stranger (June 20). 33,
Hoff. Syd,1976, Editorial and Political Cartooning. From Earliest Times to the Present, Stravon Educational,
Kitup. Ilia,1998, Dostoyevsky Forever. Comics Culture in Russia, Stripburger,
Garamone. Jim,1997, 'Beetle Bailey' finally gets more sensitivity, Stripe [Water Reed Army Medical Center] (Aug 1),
Unknown,2009, Let's Not Talk About Comics. Chris Onstad, Strip-for-me (June 16),
Hollander. Eugen,1905, Karikature und Satire in der Medizin [German medical caricature], Sttuttgart,
Unknown,2006, Student editors. Mainstream media wrong for not publishing Muhammad cartoons [Danish Islam cartoons], Student Press Law Center (February 13),
Brednich. R.W.,1976, Die Comic Strips als Gegenstand der Erzahlforschung [in German], Studia Fennica (20). 230-240,
Harkins. Anthony,2006, From 'Sweet Mamas' to 'Bodacious' Hillbillies. Billy DeBeck's Impact on American Culture, Studies in American Humor (New Series 3. 14). 55-72,
Dolinar. Brian,2006, Humor Can Often Make Dents Where Sawed-Off Billard Sticks Can't. The Bootsie Cartoons by Ollie Harrington, Studies in American Humor (New Series 3. 14). 73-90,
Kannenberg. Gene Jr,2006, Chips Off the Ol' Blockhead. Evidence of Influence in Peanuts Parodies, Studies in American Humor (New Series 3. 14). 91-104,
Lent. John A,1995, Comic books and comic strips in the United States [Review], Studies in American Humor 3(2).120-3,
Inge. M,2009, Mark Twain. Chuck Jones. and the Art of Animation, Studies in American Humor. New Series 3 (17). 11-17,
Smith. Nancy R,1985, Copying and artistic behaviors. Children and comic strips, Studies in Art Education 26(3).147-156,
Hunt. Nancy L,1983, Palomo's El Cuarto Reich. Economic disaster. torture and other laughs [Latin American comics], Studies in Latin American Popular Culture 2.36-43,
Resnick. Claudia Cairo and Paula K,1983, 'Quino' after Malfalda. A bittersweet look at Argentine reality [Argentinian comics], Studies in Latin American Popular Culture 2.79-87,
Moya. Alvaro de,1988, Comics in Brazil, Studies in Latin American Popular Culture 7.227-239,
Anderson. Fenwick,1995, Son of popular culture on a pedestal [comic strips], Studies in Popular Culture,academic journal
Bell. E.S.,1982, The Incredible Hulk as modern Grail quest, Studies in Popular Culture,academic journal
Armour. Robert A,1987, Comic strips. theatre. and early narrative films. 1895-1904, Studies in Popular Culture,academic journal
Rollin. Lucy,1989, The Savage Mind of Gary Larson, Studies in Popular Culture,academic journal
Inge. M,1991, Form and function in metacomics. Self-reflexivity and in the comic strips, Studies in Popular Culture,academic journal
Metcalf. Greg,1991, It's a Jungle Book out there. kid. The sixties in Walt Disney's The Jungle Book, Studies in Popular Culture,academic journal
Carroll. Michael T,1993, The bloody spectacle. Mishima. the sacred heart. Hogarth. Cronenberg. and the entrails of culture, Studies in Popular Culture,academic journal
Williams. J,1994, Transformations and projections. Constructions of femininity in Lois Lane, Studies in Popular Culture,academic journal
Henry. Matthew,1994, The triumph of popular culture. Situation comedy. postmodernism and the Simpsons, Studies in Popular Culture,academic journal
Silvio. Carl,1995, Postmodern Narrative. the Marvel Universe. and the Reader, Studies in Popular Culture,academic journal
Kurman. George,1995, Cultural antecedents of Beavis and Butt-head, Studies in Popular Culture,academic journal
Lafky. Sue A,1995, For Better or For Worse. Coming out in the funny pages [homosexuaity], Studies in Popular Culture,academic journal
Inge. M,1996, Sut. Scarlet. and Their Comic Cousins. The South in the Comic Strip, Studies in Popular Culture,academic journal
Stevens. H,1997, Look! Up in the Sky! It's a Bird! It's a Plane! It's  Rocketman!'. Pynchon's Comic Book Mythology in Gravity's Rainbow, Studies in Popular Culture,academic journal
Scholl. Sharon,1979, The American Teenager From Archie to Funky, Studies in Popular Culture,academic journal
Lavery. David,2005, Aesop after Darwin. The Radical Anthropomorphism of The Far Side, Studies in Popular Culture,academic journal
Corley. Sarah V,1982, Women in the Comics, Studies in Popular Culture,academic journal
Inge. M,1984, Who's afraid of the big bad wolf. Popular Culture of the depression era, Studies in Popular Culture,academic journal
Bassett. John E,1985, Thurber and the critics. The problem of humor, Studies in Popular Culture,academic journal
